PosGroup,Height,Weight,Birthdate,Exp
lineb,72,243,30-Oct-92,0
dback,70,187,1-Jan-85,10
dback,74,220,1-Jun-92,2
off,79,318,27-Sep-85,9
dback,72,202,7-Nov-91,3
off,78,330,15-Feb-88,6
dback,70,198,8-Dec-88,6
off,77,315,26-Nov-90,3
dback,73,190,19-Sep-90,5
dback,71,210,7-Aug-90,5
lineb,73,230,21-Sep-90,3
off,78,345,18-Sep-89,5
lineb,75,260,13-Mar-91,2
lineb,75,260,13-Mar-91,2
dback,71,202,13-Sep-90,5
dback,74,200,18-Sep-84,9
dback,69,176,7-Jul-93,2
lineb,73,231,31-Aug-90,3
lineb,73,231,31-Aug-90,3
lineb,72,242,29-May-93,0
dback,71,197,11-Jun-89,3
dback,75,220,4-Feb-90,1
off,75,300,5-Nov-88,5
dback,72,196,25-Jul-85,10
off,75,303,12-Aug-91,2
off,76,318,24-Mar-85,9
dback,74,205,15-Mar-95,0
lineb,72,230,21-Apr-94,2
lineb,75,237,12-Jan-83,11
dback,72,215,4-Jan-85,10
lineb,73,220,2-Jul-92,0
dback,70,185,19-Jul-83,10
lineb,76,265,4-Jun-92,2
off,77,320,30-Sep-90,3
dback,74,201,13-May-92,2
dback,71,195,14-Apr-89,7
lineb,73,235,4-May-92,2
dback,70,195,30-May-92,3
lineb,75,275,3-Nov-83,11
dback,70,202,19-Nov-83,13
dback,74,201,31-May-94,0
dback,71,195,9-Dec-84,9
dback,72,188,24-Jan-93,0
dback,70,204,3-Jun-95,0
dback,73,205,24-Jan-91,4
lineb,75,265,20-Jan-94,2
dback,73,205,11-Dec-82,11
dback,73,192,9-Oct-91,2
dback,70,199,18-Jun-89,6
lineb,74,250,21-Jan-84,10
dback,71,190,30-Jun-94,0
dback,75,225,2-Apr-90,1
off,77,302,11-Mar-85,9
dback,73,197,25-Jun-94,0
lineb,72,242,4-May-78,14
dback,72,195,17-Nov-91,0
dback,72,195,17-Nov-91,0
dback,70,189,23-Jan-93,0
off,75,302,22-Oct-88,7
dback,71,190,27-Jun-90,4
dback,71,192,9-Sep-89,5
dback,73,212,14-May-91,4
lineb,72,230,13-May-92,2
lineb,75,250,6-Oct-91,2
off,79,331,21-Jan-92,3
dback,72,209,8-Apr-93,0
lineb,76,246,1-Sep-87,6
lineb,74,232,6-Apr-93,2
lineb,75,265,12-Mar-90,5
dback,70,182,29-Aug-91,1
lineb,72,235,10-Jun-92,3
lineb,74,236,17-Jan-91,4
dback,72,200,10-Jul-89,6
lineb,75,258,12-Jan-89,6
lineb,75,274,24-Jun-87,7
dback,73,203,13-Apr-93,0
dback,70,185,29-Apr-94,0
dback,73,198,4-Jul-93,0
off,74,300,12-Jul-89,6
dback,71,196,6-Apr-92,3
lineb,74,254,13-Aug-88,7
lineb,72,233,25-May-91,1
lineb,71,232,10-Aug-87,8
off,74,299,22-Feb-94,0
dback,70,191,24-Mar-91,3
off,77,312,17-Dec-91,3
dback,72,197,31-Dec-90,4
dback,73,214,3-Dec-83,9
dback,73,208,16-Jun-89,4
off,76,322,6-Aug-89,6
off,76,304,26-Sep-90,3
dback,76,225,31-Mar-90,5
lineb,74,247,26-Apr-89,5
lineb,75,250,1-Nov-87,5
dback,72,206,6-May-91,4
off,77,331,12-May-87,7
off,77,331,12-May-87,7
dback,70,193,11-Mar-93,0
lineb,73,247,3-Sep-95,0
dback,70,183,2-Dec-89,4
lineb,72,242,26-Sep-83,11
lineb,72,230,19-Dec-91,1
off,75,335,12-Jul-91,3
dback,70,185,10-Apr-88,7
dback,72,193,21-Jul-85,5
dback,72,189,27-Oct-92,0
lineb,76,240,17-Apr-88,4
dback,69,185,14-May-90,3
lineb,73,229,22-May-93,0
